বাড়ি,House
বাড়ি,Home
কাল,Time
কাল,Black
দাড়ি,Beard
দাড়ি,Rope
ছবি,Photograph
ছবি,Picture
পানি,Water
পানি,Liquid
তালা,Rhythm
তালা,Musical Beat
তালা,Lock
ডাক,Mail
ডাক,Call
ঘোড়া,Clock
ঘোড়া,Horse
খাতা,Book
খাতা,Account
বাজার,Price
বাজার,Market
মা,Measurement
মা,Mother
ঘাট,Way
ঘাট,Landing place
রাত,Night
রাত,Advice
কথা,Story
কথা,Words
কাক,Elder Brothe
কাক,Crow
পা,Step
পা,Leg
জাল,Net
জাল,Trap
ভালো,Well
ভালো,Good
নাক,Point
নাক,Nose
বালা,Girl
বালা,Rope
কাণ,Ear
কাণ,Corner
জালা,Burn
জালা,Net
কচা,Uncooked
কচা,Raw
মাখা,Cooked
মাখা,Pure
ফুল,Flower
ফুল,Full
রাজা,King
খেলা,Game
খেলা,Play
ভাত,Rice
হয়,Is
আছেন,Are
এটা,This
ওটা,That
তার,His
তার,Her
তার,His
টাকা,Money
টাকা,Silver Coin
দুটো,Two
দুটো,Pair
সুন্দর,Beautiful
সুন্দর,Good
মিষ্টি,Sweet
মিষ্টি,Cute
তাকে,him
এখানে,here
ওখানে,there
দোকান,Shop
দোকান,Store
ভেজা,Soaked
ভেজা,Brain
গাড়ি,Car
গাড়ি,Cart
চোখ,Eye
চোখ,Hole
